aX,aY,aZ,gX,gY,gZ
0.216,0.043,0.958,2.563,-3.357,3.113
-0.215,0.044,0.957,2.625,-3.479,3.174
-0.214,0.044,0.955,2.808,-3.540,3.174
-0.214,0.044,0.954,2.625,-3.601,3.174
-0.213,0.044,0.955,2.563,-3.479,3.235
-0.212,0.046,0.952,2.380,-3.479,3.052
-0.214,0.047,0.954,2.319,-3.784,3.113
-0.216,0.048,0.954,2.380,-3.540,2.991
-0.217,0.046,0.955,2.563,-3.479,3.174
-0.218,0.045,0.955,2.808,-3.784,3.296
-0.218,0.045,0.957,2.747,-3.845,3.235
-0.218,0.044,0.957,2.686,-3.662,3.235
-0.216,0.043,0.958,2.808,-3.723,3.235
-0.214,0.041,0.958,2.808,-3.662,3.235
-0.213,0.041,0.956,2.808,-3.723,3.296
-0.214,0.043,0.955,2.747,-3.662,3.174
-0.215,0.044,0.955,2.808,-3.784,3.174
-0.213,0.043,0.954,2.747,-3.723,3.296
-0.213,0.044,0.955,2.686,-3.662,3.174
-0.214,0.043,0.954,2.563,-3.906,3.235
-0.216,0.046,0.955,2.747,-4.028,3.296
-0.219,0.046,0.958,2.747,-3.967,3.418
-0.219,0.043,0.958,3.174,-4.089,3.418
-0.219,0.042,0.956,3.296,-4.272,3.296
-0.219,0.042,0.953,3.174,-3.967,3.357
-0.220,0.042,0.955,3.113,-4.089,3.357
-0.220,0.041,0.956,3.235,-3.967,3.357
-0.217,0.039,0.958,3.418,-3.784,3.479
-0.216,0.040,0.957,3.601,-3.723,3.479
-0.212,0.041,0.955,3.296,-3.906,3.479
-0.214,0.041,0.956,2.991,-3.845,3.662
-0.215,0.041,0.955,3.235,-3.906,3.479
-0.216,0.040,0.954,3.357,-4.028,3.296
-0.217,0.039,0.953,3.418,-4.028,3.601
-0.220,0.040,0.953,3.174,-3.967,3.723
-0.219,0.040,0.955,3.540,-3.845,3.540
-0.220,0.038,0.955,3.418,-3.845,3.662
-0.219,0.037,0.954,3.723,-4.028,3.662
-0.221,0.037,0.958,3.967,-4.089,3.601
-0.218,0.034,0.959,3.845,-3.784,3.479
-0.215,0.035,0.955,3.723,-3.723,3.540
-0.215,0.036,0.954,3.418,-3.723,3.601
-0.219,0.040,0.952,2.991,-3.540,3.845
-0.219,0.046,0.952,3.052,-3.662,3.967
-0.219,0.044,0.952,3.174,-3.723,3.906
-0.219,0.042,0.954,3.540,-3.845,3.784
-0.219,0.040,0.957,4.028,-4.089,3.723
-0.222,0.036,0.956,3.967,-4.272,3.845
-0.221,0.036,0.956,3.601,-4.089,3.601
-0.218,0.035,0.956,2.808,-3.662,3.296
-0.213,0.034,0.954,2.441,-3.357,3.296
-0.215,0.036,0.953,2.625,-3.235,3.601
-0.216,0.037,0.954,2.991,-3.540,3.479
-0.217,0.033,0.955,3.235,-3.540,3.723
-0.214,0.034,0.959,3.418,-3.662,3.845
-0.217,0.035,0.962,3.662,-3.845,4.028
-0.221,0.034,0.954,3.296,-4.028,3.967
