aX,aY,aZ,gX,gY,gZ
-0.154,0.042,0.967,2.075,-3.662,3.174
-0.154,0.043,0.966,2.136,-3.662,3.296
-0.152,0.043,0.965,2.014,-3.540,3.235
-0.154,0.042,0.965,2.075,-3.540,3.296
-0.152,0.041,0.965,2.258,-3.601,3.296
-0.152,0.041,0.963,2.136,-3.601,3.296
-0.153,0.041,0.964,2.136,-3.479,3.113
-0.154,0.042,0.963,2.075,-3.357,3.235
-0.152,0.043,0.966,2.136,-3.296,3.296
-0.152,0.043,0.964,2.197,-3.418,3.235
-0.153,0.045,0.963,2.136,-3.601,3.174
-0.154,0.044,0.963,1.892,-3.601,3.296
-0.153,0.042,0.967,2.258,-3.418,3.235
-0.153,0.042,0.966,2.319,-3.235,3.235
-0.153,0.042,0.965,2.258,-3.418,3.113
-0.153,0.043,0.964,2.197,-3.540,3.113
-0.152,0.042,0.966,2.258,-3.296,3.113
-0.153,0.042,0.966,2.136,-3.296,3.052
-0.153,0.042,0.965,2.136,-3.418,3.235
-0.154,0.043,0.966,2.136,-3.296,3.296
-0.152,0.044,0.966,2.258,-3.479,3.235
-0.152,0.044,0.964,2.197,-3.540,3.357
-0.154,0.043,0.966,2.319,-3.418,3.235
-0.152,0.043,0.967,2.075,-3.418,3.296
-0.152,0.043,0.964,2.136,-3.357,3.235
-0.153,0.043,0.964,2.319,-3.418,3.113
-0.152,0.042,0.964,2.380,-3.235,3.174
-0.152,0.041,0.965,2.319,-3.479,3.357
-0.154,0.042,0.966,2.319,-3.601,3.357
-0.154,0.043,0.965,2.197,-3.479,3.357
-0.153,0.043,0.964,2.258,-3.479,3.296
-0.154,0.042,0.965,2.258,-3.235,3.174
-0.152,0.042,0.966,2.380,-3.418,3.296
-0.154,0.039,0.962,2.075,-3.540,3.296
-0.153,0.039,0.957,2.258,-3.784,3.357
-0.146,0.044,0.960,1.648,-3.418,3.052
-0.162,0.049,0.980,1.770,-2.930,3.174
-0.151,0.035,0.982,2.869,-3.418,3.296
-0.150,0.042,0.958,2.197,-4.028,3.479
-0.159,0.046,0.953,1.587,-4.028,3.235
-0.154,0.045,0.970,2.136,-3.235,3.235
-0.148,0.043,0.976,2.380,-2.869,3.479
-0.157,0.046,0.967,2.197,-3.540,3.113
-0.159,0.049,0.958,2.014,-3.845,3.296
-0.147,0.045,0.961,2.197,-3.235,3.235
-0.150,0.044,0.970,2.258,-3.357,3.235
-0.155,0.044,0.967,2.075,-3.540,3.174
-0.152,0.044,0.960,2.197,-3.662,3.174
-0.156,0.043,0.961,2.258,-3.479,3.296
-0.156,0.040,0.968,2.258,-3.418,3.357
-0.150,0.040,0.966,2.197,-3.357,3.296
-0.151,0.042,0.961,2.197,-3.723,3.357
-0.156,0.044,0.961,2.136,-3.784,3.296
-0.153,0.042,0.965,1.953,-3.418,3.235
-0.151,0.041,0.966,2.075,-3.418,3.235
-0.154,0.042,0.965,2.075,-3.540,3.235
-0.152,0.042,0.964,1.892,-3.479,3.235
-0.148,0.042,0.964,2.014,-3.235,3.113
-0.151,0.041,0.965,2.075,-3.418,3.113
